Date,City,Temperature (Â°C),Humidity(%),Air Quality Index(AQI) Value, AQI Category,Common Health Issues,Recommendations
2026-02-13,Mumbai,28,43,248 ,Poor,"Respiratory issues, allergies, eye irritation","Wear masks outdoors, use air purifiers, avoid peak pollution times"
2026-02-13,Delhi,15,38,271, Poor/Very Poor,"Asthma, cough, chest discomfort, fatigue","Stay indoors, mask N95, reduce outdoor activities, hydrate well"
2026-02-13,Banglore,21,15,65, Moderate,"Mild allergies, heat-related discomfort","Drink water, ventilate rooms, light clothing"
2026-02-13,Hydrabad,27,74,143, Moderate/Poor,"Respiratory irritation, mild asthma symptoms","Air purifiers indoors, masks outdoors, avoid heavy exercise"
2026-02-13,Chennai,24,53,249, Poor,"Skin irritation, respiratory discomfort","Stay hydrated, monitor pollution alerts, avoid strenuous outdoor work"
2026-02-13,Kolkata,21,62,271, Poor/Very Poor,"Allergy, mild respiratory issues","Use air filters, mask if sensitive, stay hydrated"
2026-02-13,Pune,22,37,65, Moderate,"Mild respiratory issues, eye irritation","Ventilate rooms, avoid dusty areas, mask if sensitive"
2026-02-13,Ahmedabad,26,48,143, Moderate/Poor,"Respiratory discomfort, cough","Use indoor purifiers, reduce outdoor exposure"
2026-02-13,Jaipur,17,60,250, Poor,"Asthma triggers, throat irritation","Wear masks, monitor pollution, indoor humidifiers"
2026-02-13,Lucknow,15,82,271, Poor/Very Poor,"Respiratory problems, fatigue","Masks, air purifiers, limit outdoor exposure"
2026-02-13,Patna,22,70,140, Moderate,"Cough, breathing difficulties","Stay indoors, N95 masks, reduce outdoor exposure"
2026-02-13,Bhubneswar,24,75,179, Moderate/Poor,"Asthma, chest discomfort","Avoid outdoor activity, use masks, air purifiers"
2026-02-13,Nagpur,29,40,251, Poor,"Mild respiratory issues, allergies","Ventilate indoors, mask outdoors if sensitive"
2026-02-13,Indore,25,45,145, Moderate/Poor,"Respiratory irritation, fatigue","Indoor air filtration, mask outdoors"
2026-02-13,Srinagar,5,50,130, Poor,"Cold-related illness, respiratory infections","Warm clothing, indoor heating, mask for air quality"
2026-02-13,Guwahati,23,59,248, Poor,"Asthma, cough, eye irritation","Limit outdoor exposure, use air purifiers"
2026-01-13,Imphal,19,60,143, Moderate/Poor,"Cold-related illness, mild respiratory issues","Warm clothing, avoid peak pollution times"
2026-02-13,Shillong,19,70,65, Moderate ,"Respiratory irritation, cold-related illness","Warm clothing, monitor weather changes"
2026-02-13,Agartala,17,65,142, Moderate/Poor ,"Mild respiratory issues","Ventilated indoor spaces, avoid dusty areas"
2026-02-13,Aizawl,17,28,140, Moderate ,"Mild respiratory irritation","Mask outdoors, indoor humidifiers"
2026-02-14,Mumbai,28,70,288,Unhealthy,"Cough and chest irritation","Avoid long outdoor exposure and wear mask"
2026-02-14,Delhi,25,50,255,Poor,"Throat irritation and coughing","Use N95 mask and limit outdoor activity"
2026-02-14,Bangalore,26,65,120,Moderate,"Mild allergy and sneezing","Keep indoor ventilation"
2026-02-14,Chennai,32,70,150,Moderate,"Dry throat and mild cough","Drink water frequently"
2026-02-14,Hyderabad,30,60,140,Moderate,"Mild respiratory irritation","Wear mask in traffic areas"
2026-02-14,Kolkata,28,72,160,Moderate,"Nasal irritation","Use indoor air purifier"
2026-02-14,Pune,27,58,130,Moderate,"Mild dust allergy","Keep indoor air clean"
2026-02-14,Ahmedabad,34,50,160,Moderate,"Eye irritation and mild cough","Avoid afternoon heat exposure"
2026-02-14,Jaipur,30,45,190,Poor,"Chest tightness","Wear N95 mask outdoors"
2026-02-14,Lucknow,29,55,180,Poor,"Cough and wheezing","Use indoor air purifier"
2026-02-14,Patna,30,60,200,Poor,"Respiratory discomfort","Limit outdoor physical activity"
2026-02-14,Bhubaneswar,29,75,170,Moderate,"Chest irritation","Wear mask outdoors"
2026-02-14,Nagpur,32,55,150,Moderate,"Mild breathing issues","Avoid dusty environments"
2026-02-14,Indore,30,60,145,Moderate,"Eye irritation","Wear mask in traffic zones"
2026-02-14,Srinagar,12,55,90,Satisfactory,"Mild cold symptoms","Wear warm clothes"
2026-02-14,Guwahati,28,80,160,Moderate,"Sneezing and congestion","Reduce outdoor exposure"
2026-02-14,Imphal,25,85,120,Moderate,"Allergy symptoms","Maintain indoor ventilation"
2026-02-14,Shillong,20,90,100,Satisfactory,"Mild sinus irritation","Keep indoor air dry"
2026-02-14,Agartala,26,85,130,Moderate,"Mild cough","Avoid outdoor dust"
2026-02-14,Aizawl,22,88,110,Moderate,"Minor respiratory discomfort","Monitor indoor air quality"
2026-02-15,Mumbai,29,68,295,Unhealthy,"Persistent cough and breathing discomfort","Avoid outdoor exposure and use protective mask"
2026-02-15,Delhi,26,48,260,Poor,"Throat irritation and mild chest tightness","Wear N95 mask and avoid outdoor exercise"
2026-02-15,Bangalore,27,63,125,Moderate,"Mild sneezing and allergy symptoms","Maintain indoor ventilation"
2026-02-15,Chennai,33,68,155,Moderate,"Dry throat and fatigue","Stay hydrated and limit sun exposure"
2026-02-15,Hyderabad,31,58,150,Moderate,"Mild respiratory irritation","Wear mask in high traffic areas"
2026-02-15,Kolkata,29,70,170,Moderate,"Cough and nasal irritation","Use indoor air purifier"
2026-02-15,Pune,28,55,135,Moderate,"Dust allergy and throat discomfort","Avoid dusty outdoor areas"
2026-02-15,Ahmedabad,35,48,170,Moderate,"Eye irritation and dry cough","Avoid afternoon outdoor activity"
2026-02-15,Jaipur,31,42,200,Poor,"Chest discomfort and coughing","Use N95 mask outdoors"
2026-02-15,Lucknow,30,52,190,Poor,"Wheezing and throat irritation","Limit outdoor exertion"
2026-02-15,Patna,31,58,210,Poor,"Respiratory discomfort and coughing","Stay indoors during peak pollution"
2026-02-15,Bhubaneswar,30,73,180,Moderate,"Chest irritation and congestion","Wear mask outdoors"
2026-02-15,Nagpur,33,53,160,Moderate,"Mild breathing difficulty","Avoid dusty environments"
2026-02-15,Indore,31,57,150,Moderate,"Eye irritation","Use mask in traffic areas"
2026-02-15,Srinagar,13,53,95,Satisfactory,"Mild cold symptoms","Wear warm clothing"
2026-02-15,Guwahati,29,82,170,Moderate,"Sneezing and congestion","Reduce outdoor exposure"
2026-02-15,Imphal,26,84,130,Moderate,"Allergy symptoms and mild cough","Maintain indoor ventilation"
2026-02-15,Shillong,21,88,105,Satisfactory,"Mild sinus irritation","Keep indoor spaces dry"
2026-02-15,Agartala,27,83,140,Moderate,"Mild cough and throat irritation","Avoid outdoor dust exposure"
2026-02-15,Aizawl,23,86,115,Moderate,"Minor respiratory discomfort","Monitor indoor air quality"
2026-02-16,Mumbai,30,67,300,Very Poor,"Breathing discomfort and persistent cough","Avoid outdoor exposure and wear N95 mask"
2026-02-16,Delhi,27,47,270,Poor,"Throat irritation and chest tightness","Limit outdoor activity and use protective mask"
2026-02-16,Bangalore,27,62,130,Moderate,"Sneezing and mild allergy","Maintain good indoor ventilation"
2026-02-16,Chennai,33,66,160,Moderate,"Dry throat and fatigue","Stay hydrated and avoid afternoon sun"
2026-02-16,Hyderabad,32,57,155,Moderate,"Respiratory irritation","Wear mask in polluted areas"
2026-02-16,Kolkata,30,69,180,Moderate,"Cough and nasal congestion","Use indoor air purifier"
2026-02-16,Pune,28,54,140,Moderate,"Dust allergy and throat discomfort","Avoid dusty outdoor places"
2026-02-16,Ahmedabad,36,46,180,Moderate,"Eye irritation and coughing","Reduce outdoor exposure in afternoon"
2026-02-16,Jaipur,32,40,210,Poor,"Chest discomfort and wheezing","Wear N95 mask outdoors"
2026-02-16,Lucknow,31,50,200,Poor,"Coughing and throat irritation","Limit outdoor physical activity"
2026-02-16,Patna,32,57,220,Poor,"Respiratory distress and coughing","Stay indoors during peak pollution"
2026-02-16,Bhubaneswar,30,72,185,Moderate,"Chest irritation and congestion","Use mask outdoors"
2026-02-16,Nagpur,34,52,165,Moderate,"Mild breathing difficulty","Avoid dusty environments"
2026-02-16,Indore,32,55,155,Moderate,"Eye irritation","Wear mask in traffic zones"
2026-02-16,Srinagar,14,52,100,Satisfactory,"Mild cold and throat discomfort","Wear warm clothing"
2026-02-16,Guwahati,29,81,175,Moderate,"Sneezing and nasal congestion","Reduce outdoor exposure"
2026-02-16,Imphal,26,83,135,Moderate,"Allergy symptoms and cough","Maintain indoor ventilation"
2026-02-16,Shillong,21,87,110,Moderate,"Sinus irritation","Keep indoor air dry"
2026-02-16,Agartala,27,82,145,Moderate,"Mild cough and throat irritation","Avoid dusty outdoor air"
2026-02-16,Aizawl,23,85,120,Moderate,"Minor respiratory discomfort","Monitor indoor air quality"
2026-02-17,Mumbai,30,70,285,Unhealthy,"Breathing discomfort and persistent cough","Avoid outdoor exposure and wear protective mask"
2026-02-17,Delhi,27,46,255,Poor,"Throat irritation and mild chest tightness","Use N95 mask and avoid outdoor exercise"
2026-02-17,Bangalore,28,60,120,Moderate,"Sneezing and mild allergy symptoms","Maintain good indoor ventilation"
2026-02-17,Chennai,33,66,150,Moderate,"Dry throat and fatigue","Stay hydrated and reduce sun exposure"
2026-02-17,Hyderabad,32,55,145,Moderate,"Mild respiratory irritation","Wear mask in high traffic areas"
2026-02-17,Kolkata,30,72,165,Moderate,"Cough and nasal irritation","Use indoor air purifier if available"
2026-02-17,Pune,29,54,130,Moderate,"Dust allergy and throat discomfort","Avoid dusty outdoor locations"
2026-02-17,Ahmedabad,36,45,175,Moderate,"Eye irritation and dry cough","Limit outdoor activity during afternoon"
2026-02-17,Jaipur,32,40,195,Poor,"Chest discomfort and coughing","Wear N95 mask outdoors"
2026-02-17,Lucknow,31,50,185,Poor,"Wheezing and throat irritation","Reduce prolonged outdoor exposure"
2026-02-17,Patna,32,56,205,Poor,"Respiratory discomfort and coughing","Stay indoors during peak pollution hours"
2026-02-17,Bhubaneswar,31,75,175,Moderate,"Chest irritation and congestion","Wear mask in polluted areas"
2026-02-17,Nagpur,34,50,155,Moderate,"Mild breathing difficulty","Avoid dusty environments"
2026-02-17,Indore,32,55,145,Moderate,"Eye irritation and mild cough","Use mask in traffic zones"
2026-02-17,Srinagar,14,52,90,Satisfactory,"Cold sensitivity and mild cough","Wear warm clothing outdoors"
2026-02-17,Guwahati,30,80,165,Moderate,"Sneezing and nasal congestion","Limit outdoor exposure in polluted areas"
2026-02-17,Imphal,27,82,125,Moderate,"Allergy symptoms and mild cough","Ensure proper indoor ventilation"
2026-02-17,Shillong,22,86,100,Satisfactory,"Mild sinus irritation","Keep indoor spaces dry and clean"
2026-02-17,Agartala,28,81,135,Moderate,"Mild throat irritation and cough","Avoid exposure to dust and smoke"
2026-02-17,Aizawl,24,85,110,Moderate,"Minor respiratory discomfort","Monitor indoor air quality"



